Coup ID,COW_Code,Country,Year,Month_of_Event,Day_of_Event,Type_of_Coup,Realized_Coup,Unrealized ,Military_Coup ,Rebel_Coup,Palace_Coup,Popular_Revolt,Dissident_Actions,Foreign_Coup,Internationally_Mediated_Transitions ,Forced_Resignation,Counter-Coup,Auto-Coup,Attempted_Coup,Coup_Conspiracies,Ambigious Coup,Did No Harm Come to the Incumbent?,Was the Incumbent Injured?,Was the Incumbent Killed?,Was the Incumbent Placed Under House Arrest?,Was the Incumbent Jailed?,Was the Incumbent Tried?,Did the Incumbent Flee the Country?,Was the Incumbent Expatriated ,Were Military Actors Involved in the Coup?,Were Other Security Officials Involved in the Coup?,Were Rebel Soldiers Involved in the Coup?,Were Non-Military Government Officials Involved in the Coup?,Were Non-Government Political Actors Involved in the Coup?,Were Political Radicals Involved in the Coup?,Were Business Leaders Involved in the Coup?,Were Organized Labor Activists Involved in the Coup?,Were Students or Academics Involved in the Coup?,Were Religious Leaders Involved in the Coup?,Were_Ethnic_Group_Leaders_Involved,Were_Ordinary_Citizens_Involved,Were_Mercenaries_Involved,Were_Non-Government_Foreign_Actors_Involved,Was_a_Foreign_Gov_Involved,Were_Others_than_the_Incumbent_Killed?,Were_Others_then_the_Incumbent_Injured?,Were_Others_than_the_Incumbent_Arrested?,Were_Weapons_Used_in_the_Coup?,Were_Crude_Weapons_Used?,Were_Small_Arms_Used?,Were_Explosive_Devices_Used?,Were_Military_Grade_Weapons_Used?,,53
14004021964,140,Brazil ,1964,4,2,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,,
14505161951,145,Bolivia ,1951,5,16,coup ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14508281949,145,Bolivia ,1949,8,28,attempt ,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,
14511161979,145,Bolivia ,1979,11,16,coup ,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
14511241978,145,Bolivia ,1978,11,24,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
14512291984,145,Bolivia ,1984,12,29,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15001301949,150,Paraguay ,1949,1,30,coup ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
15510001969,155,Chile ,1969,10,0,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
16004001987,160,Argentina ,1987,4,0,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
16004021963,160,Argentina ,1963,4,2,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,,
16010001960,160,Argentina ,1960,10,0,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
21208021946,212,Luxembourg ,1946,8,2,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
22006301947,220,France ,1947,6,30,conspiracy ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
23001001980,230,Spain ,1980,1,0,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
23503111975,235,Portugal ,1975,3,11,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
29010211956,290,Poland ,1956,10,21,coup ,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31010231956,310,Hungary ,1956,10,23,coup ,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,,
31012311947,310,Hungary ,1947,12,31,conspiracy ,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
31512181987,315,Czechoslovakia ,1987,12,18,coup ,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32512071970,325,Italy ,1970,12,7,conspiracy ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
35002251975,350,Greece ,1975,2,25,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
35207151974,352,Cyprus ,1974,7,15,coup ,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
36001001983,360,Romania ,1983,1,0,conspiracy ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
37205001999,372,Georgia ,1999,5,0,conspiracy ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
37310001996,373,Azerbaijan ,1996,10,0,attempt ,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
40406071998,404,Guinea-Bissau ,1998,6,7,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
40411141980,404,Guinea-Bissau ,1980,11,14,coup ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
43203061991,432,Mali ,1991,3,6,coup ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,,
43403261988,434,Benin ,1988,3,26,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
43510001995,435,Mauritania ,1995,10,0,conspiracy ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
43512121984,435,Mauritania ,1984,12,12,coup ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
43601001998,436,Niger ,1998,1,0,conspiracy ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
43710001995,437,Cote d'Ivoire ,1995,10,0,attempt ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
43803171997,438,Guinea ,1997,3,17,conspiracy ,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
43910202003,439,Burkina Faso ,2003,10,20,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
45004121980,450,Liberia ,1980,4,12,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,
45005001981,450,Liberia ,1981,5,0,conspiracy ,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45011221990,450,Liberia ,1990,11,22,coup ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
45103211967,451,Sierra Leone ,1967,3,21,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
45103231967,451,Sierra Leone ,1967,3,23,coup ,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
45112281992,451,Sierra Leone ,1992,12,28,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
45206041979,452,Ghana ,1979,6,4,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,
45211062004,452,Ghana ,2004,11,6,conspiracy ,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
47501151966,475,Nigeria ,1966,1,15,coup ,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,,
47508261993,475,Nigeria ,1993,8,26,coup ,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,
48209211979,482,Central African Republic ,1979,9,21,coup ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,,
48303231979,483,Chad ,1979,3,23,coup ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
48304291979,483,Chad ,1979,4,29,coup ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,
48405131968,484,Congo ,1968,5,13,attempt ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
48411081969,484,Congo ,1969,11,8,attempt ,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,
51606001973,516,Burundi ,1973,6,0,attempt ,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
51609031987,516,Burundi ,1987,9,3,coup ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
51610181965,516,Burundi ,1965,10,18,attempt ,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,. ,0,0,0,0,0,0,0,0,0,0,0,,
51707051973,517,Rwanda ,1973,7,5,coup ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,,
53005271991,530,Ethiopia ,1991,5,27,coup ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
56007001983,560,South Africa ,1983,7,0,conspiracy ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
57011121990,570,Lesotho ,1990,11,12,coup ,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58010111972,580,Madagascar ,1972,10,11,coup ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
58103081985,581,Comoros ,1985,3,8,attempt ,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,,
58111271989,581,Comoros ,1989,11,27,coup ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,
